#logback.classic pattern: %date{ISO8601} | %-5level | %msg [%logger{40}<%thread>] %n%xEx
2023-08-24 11:48:22,031 | INFO  | Skipping configuration file file:/home/dev-josh/Desktop/invictus/platform-community-6.4.1/gatein/conf/exo.properties. File doesn't exist. [o.e.c.ExtendedPropertyConfigurator<Catalina-utility-1>] 
2023-08-24 11:48:22,035 | INFO  | Using property file jar:file:/home/dev-josh/Desktop/invictus/platform-community-6.4.1/lib/plf-community-edition-service.jar!/conf/platform/configuration.properties to set configuration properties. [o.e.c.ExtendedPropertyConfigurator<Catalina-utility-1>] 
2023-08-24 11:48:22,084 | INFO  | Using property file jar:file:/home/dev-josh/Desktop/invictus/platform-community-6.4.1/lib/exo-jcr-services.jar!/conf/jcr-local.properties to set configuration properties. [o.e.c.ExtendedPropertyConfigurator<Catalina-utility-1>] 
2023-08-24 11:48:22,086 | INFO  | Using property file jar:file:/home/dev-josh/Desktop/invictus/platform-community-6.4.1/lib/exo-jcr-services.jar!/conf/jcr.properties to set configuration properties. [o.e.c.ExtendedPropertyConfigurator<Catalina-utility-1>] 
2023-08-24 11:48:22,098 | INFO  | LiquibaseDataInitializer created with : datasourceName=java:/comp/env/exo-jpa_portal, contexts=production [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:22,109 | INFO  | Starting data initialization with Liquibase with datasource {0} [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:22,118 | INFO  | Processing changelogs of FilesChangeLogsPlugin [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:22,151 | INFO  |   * processing changelog db/changelog/file.db.changelog-1.0.0.xml [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:22,713 | INFO  | Set default schema name to PUBLIC [liquibase.database<Catalina-utility-1>] 
2023-08-24 11:48:23,512 | INFO  | Successfully acquired change log lock [liquibase.lockservice<Catalina-utility-1>] 
2023-08-24 11:48:25,593 | INFO  | Creating database history table with name: PUBLIC.DATABASECHANGELOG [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:25,615 | INFO  | Reading from PUBLIC.DATABASECHANGELOG [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,168 | INFO  | Table FILES_NAMESPACES created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,170 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-1::file ran successfully in 27ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,243 | INFO  | Table FILES_FILES created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,248 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-2::file ran successfully in 32ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,290 | INFO  | Table FILES_ORPHAN_FILES created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,293 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-3::file ran successfully in 22ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,335 | INFO  | Table FILES_BINARY created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,338 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-7::file ran successfully in 20ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,375 | INFO  | Index IDX_FILES_FILES_01 created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,388 | INFO  | Index IDX_FILES_FILES_02 created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,390 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-9::file ran successfully in 31ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,432 | INFO  | Index IDX_FILES_NAMESPACES_01 created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,434 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-10::file ran successfully in 18ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,489 | INFO  | Index IDX_FILES_ORPHAN_FILES_01 created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,493 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-11::file ran successfully in 25ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,536 | INFO  | Index IDX_FILES_BINARY_01 created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,538 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-12::file ran successfully in 18ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,575 | INFO  | FILES_FILES.UPDATER datatype was changed to NVARCHAR(200) [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,577 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-13::file ran successfully in 19ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,614 | INFO  | Sequence SEQ_FILES_FILES_FILE_ID created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,628 | INFO  | Sequence SEQ_FILES_NS_NAMESPACE_ID created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,643 | INFO  | Sequence SEQ_FILES_ORPHAN_FILES_ID created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,656 | INFO  | Sequence SEQ_FILES_BINARY_BLOB_ID created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,660 | INFO  | ChangeSet db/changelog/file.db.changelog-1.0.0.xml::1.0.0-14::file ran successfully in 59ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:26,686 | INFO  | Successfully released change log lock [liquibase.lockservice<Catalina-utility-1>] 
2023-08-24 11:48:26,688 | INFO  | Processing changelogs of AgendaRDBMSChangeLogsPlugin [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:26,688 | INFO  |   * processing changelog db/changelog/agenda-rdbms.db.changelog.xml [o.e.c.p.impl.LiquibaseDataInitializer<Catalina-utility-1>] 
2023-08-24 11:48:26,696 | INFO  | Set default schema name to PUBLIC [liquibase.database<Catalina-utility-1>] 
2023-08-24 11:48:26,771 | INFO  | Successfully acquired change log lock [liquibase.lockservice<Catalina-utility-1>] 
2023-08-24 11:48:27,674 | INFO  | Reading from PUBLIC.DATABASECHANGELOG [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,221 | INFO  | Table EXO_AGENDA_CALENDAR created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,222 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-1::agenda ran successfully in 24ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,261 | INFO  | Table EXO_AGENDA_REMOTE_PROVIDER created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,263 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-2::agenda ran successfully in 14ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,312 | INFO  | Table EXO_AGENDA_EVENT created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,314 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-3::agenda ran successfully in 35ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,347 | INFO  | Table EXO_AGENDA_RECURRENCE created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,348 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-4::agenda ran successfully in 14ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,386 | INFO  | Table EXO_AGENDA_CONFERENCE created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,387 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-5::agenda ran successfully in 17ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,415 | INFO  | Table EXO_AGENDA_ATTENDEE created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,417 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-6::agenda ran successfully in 15ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,447 | INFO  | Table EXO_AGENDA_ATTACHMENT created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,449 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-7::agenda ran successfully in 18ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,490 | INFO  | Table EXO_AGENDA_REMINDER created [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,491 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-8::agenda ran successfully in 16ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,532 | INFO  | Columns MODIFIER_ID(BIGINT) added to EXO_AGENDA_EVENT [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,533 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-9::agenda ran successfully in 18ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,561 | INFO  | Unique constraint added to EXO_AGENDA_EVENT(EVENT_ID, OCCURRENCE_ID) [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,562 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-10::agenda ran successfully in 14ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,591 | INFO  | Columns TIMEZONE_ID(VARCHAR(50)) added to EXO_AGENDA_EVENT [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,592 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-11::agenda ran successfully in 14ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,623 | INFO  | Columns ENABLED(BOOLEAN) added to EXO_AGENDA_REMOTE_PROVIDER [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,636 | INFO  | Unique constraint added to EXO_AGENDA_REMOTE_PROVIDER(NAME) [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,638 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-12::agenda ran successfully in 30ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,665 | INFO  | Column EXO_AGENDA_CONFERENCE.URI renamed to URL [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,667 | INFO  | ChangeSet db/changelog/agenda-rdbms.db.changelog.xml::1.0.0-13::agenda ran successfully in 12ms [liquibase.changelog<Catalina-utility-1>] 
2023-08-24 11:48:28,697 | INFO  | Foreign key FK_AGENDA_REMOTE_PROVIDER dropped [liquibase.changelog<Catalina-utility-1>] 
